Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrangeHRM,Chrome 118.0.5993.118,,,2023-11-10 09:06:07,2023-11-10 09:52:43,46m - 36.173s,FAILED
,,,,,,,
Test Cases/OrangeHRM-About-Page,Chrome 118.0.5993.118,,,2023-11-10 09:06:07,2023-11-10 09:06:22,14.659s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.5993.118,,,2023-11-10 09:06:08,2023-11-10 09:06:21,13.011s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_About""))",Chrome 118.0.5993.118,,,2023-11-10 09:06:21,2023-11-10 09:06:21,0.286s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/h6_About""), ""About"")",Chrome 118.0.5993.118,,,2023-11-10 09:06:21,2023-11-10 09:06:21,0.328s,PASSED
closeBrowser(),Chrome 118.0.5993.118,,,2023-11-10 09:06:21,2023-11-10 09:06:22,0.318s,PASSED
,,,,,,,
Test Cases/OrangeHRM-Approve-Leave,Chrome 118.0.5993.118,,,2023-11-10 09:08:44,2023-11-10 09:09:31,46.465s,FAILED
"callTestCase(findTestCase(""OrangeHRM-View-Leave-List""), [:], STOP_ON_FAILURE)",Chrome 118.0.5993.118,,,2023-11-10 09:08:44,2023-11-10 09:08:56,12.088s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/button_Approve""), ""Approve"")",Chrome 118.0.5993.118,,,2023-11-10 09:08:56,2023-11-10 09:09:31,34.357s,FAILED
,,,,,,,
Test Cases/OrangeHRM-Customer-Support,Chrome 118.0.5993.118,,,2023-11-10 09:09:31,2023-11-10 09:09:41,10.043s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.5993.118,,,2023-11-10 09:09:31,2023-11-10 09:09:39,8.255s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Support""))",Chrome 118.0.5993.118,,,2023-11-10 09:09:39,2023-11-10 09:09:39,0.579s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/help/support"")",Chrome 118.0.5993.118,,,2023-11-10 09:09:39,2023-11-10 09:09:40,0.610s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/p_Customer Support""), ""Customer Support"")",Chrome 118.0.5993.118,,,2023-11-10 09:09:40,2023-11-10 09:09:40,0.318s,PASSED
closeBrowser(),Chrome 118.0.5993.118,,,2023-11-10 09:09:40,2023-11-10 09:09:41,0.137s,PASSED
,,,,,,,
Test Cases/OrangeHRM-Employee-Claims,Chrome 118.0.5993.118,,,2023-11-10 09:09:41,2023-11-10 09:09:52,11.406s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.5993.118,,,2023-11-10 09:09:41,2023-11-10 09:09:50,9.278s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Buzz""))",Chrome 118.0.5993.118,,,2023-11-10 09:09:50,2023-11-10 09:09:51,0.681s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/buzz/viewBuzz"")",Chrome 118.0.5993.118,,,2023-11-10 09:09:51,2023-11-10 09:09:51,0.675s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/a_Buzz Newsfeed""), ""Buzz Newsfeed"")",Chrome 118.0.5993.118,,,2023-11-10 09:09:51,2023-11-10 09:09:52,0.413s,PASSED
closeBrowser(),Chrome 118.0.5993.118,,,2023-11-10 09:09:52,2023-11-10 09:09:52,0.182s,PASSED
,,,,,,,
Test Cases/OrangeHRM-Expand-MenuBar,Chrome 118.0.5993.118,,,2023-11-10 09:09:52,2023-11-10 09:10:16,23.795s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Minimize-MenuBar""), [:], STOP_ON_FAILURE)",Chrome 118.0.5993.118,,,2023-11-10 09:09:52,2023-11-10 09:10:04,12.034s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Minimize-MenuBar""), [:], STOP_ON_FAILURE)",Chrome 118.0.5993.118,,,2023-11-10 09:10:04,2023-11-10 09:10:15,11.026s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_oxd-icon-button""))",Chrome 118.0.5993.118,,,2023-11-10 09:10:15,2023-11-10 09:10:15,0.198s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OrangeHRM/img""), 0)",Chrome 118.0.5993.118,,,2023-11-10 09:10:15,2023-11-10 09:10:16,0.120s,PASSED
closeBrowser(),Chrome 118.0.5993.118,,,2023-11-10 09:10:16,2023-11-10 09:10:16,0.158s,PASSED
,,,,,,,
Test Cases/OrangeHRM-Login,Chrome 118.0.5993.118,,,2023-11-10 09:10:16,2023-11-10 09:10:25,9.620s,PASSED
"openBrowser("""")",Chrome 118.0.5993.118,,,2023-11-10 09:10:16,2023-11-10 09:10:19,2.872s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 118.0.5993.118,,,2023-11-10 09:10:19,2023-11-10 09:10:22,3.411s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_username""), ""Admin"")",Chrome 118.0.5993.118,,,2023-11-10 09:10:22,2023-11-10 09:10:23,0.859s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 118.0.5993.118,,,2023-11-10 09:10:23,2023-11-10 09:10:23,0.269s,PASSED
