Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-10 08:36:38,2023-11-10 08:36:53,14.110s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Chrome 118.0.0.0,,,2023-11-10 08:36:53,2023-11-10 08:36:54,1.155s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/h5_Login""), ""Login"")",Chrome 118.0.0.0,,,2023-11-10 08:36:54,2023-11-10 08:36:55,0.769s,PASSED
,,,,,,,
Test Cases/OrangeHRM-Minimize-MenuBar,Chrome 118.0.0.0,,,2023-11-10 08:36:55,2023-11-10 08:37:10,15.612s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-10 08:36:55,2023-11-10 08:37:09,14.078s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OrangeHRM/img""), 0)",Chrome 118.0.0.0,,,2023-11-10 08:37:09,2023-11-10 08:37:09,0.334s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/i_oxd-icon bi-caret-down-fill oxd-select-te_cf0fd1""))",Chrome 118.0.0.0,,,2023-11-10 08:37:09,2023-11-10 08:37:09,0.408s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OrangeHRM/img_1""), 0)",Chrome 118.0.0.0,,,2023-11-10 08:37:09,2023-11-10 08:37:10,0.772s,PASSED
,,,,,,,
Test Cases/OrangeHRM-Navigate-To-Add-User,Chrome 118.0.0.0,,,2023-11-10 08:37:10,2023-11-10 08:37:33,23.305s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-10 08:37:10,2023-11-10 08:37:29,18.295s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Admin""))",Chrome 118.0.0.0,,,2023-11-10 08:37:29,2023-11-10 08:37:30,1.494s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/admin/viewSystemUsers"")",Chrome 118.0.0.0,,,2023-11-10 08:37:30,2023-11-10 08:37:31,0.413s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Add""))",Chrome 118.0.0.0,,,2023-11-10 08:37:31,2023-11-10 08:37:33,2.047s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/h6_Add User""), ""Add User"")",Chrome 118.0.0.0,,,2023-11-10 08:37:33,2023-11-10 08:37:33,0.879s,PASSED
,,,,,,,
Test Cases/OrangeHRM-Navigate-To-Contact-Details,Chrome 118.0.0.0,,,2023-11-10 08:37:33,2023-11-10 08:38:20,46.821s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-10 08:37:34,2023-11-10 08:37:58,23.925s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-10 08:37:58,2023-11-10 08:38:14,16.704s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_My Info""))",Chrome 118.0.0.0,,,2023-11-10 08:38:14,2023-11-10 08:38:16,1.595s,PASSED
