Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrangeHRM,Chrome 118.0.0.0,,,2023-11-09 14:39:39,2023-11-09 15:08:12,28m - 33.232s,FAILED
,,,,,,,
Test Cases/OrangeHRM-About-Page,Chrome 118.0.0.0,,,2023-11-09 14:39:39,2023-11-09 14:39:56,17.160s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-09 14:39:40,2023-11-09 14:39:54,14.779s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_About""))",Chrome 118.0.0.0,,,2023-11-09 14:39:54,2023-11-09 14:39:55,0.692s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/h6_About""), ""About"")",Chrome 118.0.0.0,,,2023-11-09 14:39:55,2023-11-09 14:39:56,0.737s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-09 14:39:56,2023-11-09 14:39:56,0.369s,PASSED
,,,,,,,
Test Cases/OrangeHRM-Approve-Leave,Chrome 118.0.0.0,,,2023-11-09 14:42:56,2023-11-09 14:43:52,55.373s,FAILED
"callTestCase(findTestCase(""OrangeHRM-View-Leave-List""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-09 14:42:56,2023-11-09 14:43:16,19.674s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/button_Approve""), ""Approve"")",Chrome 118.0.0.0,,,2023-11-09 14:43:16,2023-11-09 14:43:52,35.680s,FAILED
,,,,,,,
Test Cases/OrangeHRM-Customer-Support,Chrome 118.0.0.0,,,2023-11-09 14:43:52,2023-11-09 14:44:09,17.897s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-09 14:43:52,2023-11-09 14:44:07,15.447s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Support""))",Chrome 118.0.0.0,,,2023-11-09 14:44:07,2023-11-09 14:44:08,0.879s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/help/support"")",Chrome 118.0.0.0,,,2023-11-09 14:44:08,2023-11-09 14:44:08,0.372s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/p_Customer Support""), ""Customer Support"")",Chrome 118.0.0.0,,,2023-11-09 14:44:08,2023-11-09 14:44:09,0.808s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-09 14:44:09,2023-11-09 14:44:09,0.267s,PASSED
,,,,,,,
Test Cases/OrangeHRM-Employee-Claims,Chrome 118.0.0.0,,,2023-11-09 14:44:09,2023-11-09 14:44:28,18.283s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Login""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-09 14:44:10,2023-11-09 14:44:26,16.230s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Buzz""))",Chrome 118.0.0.0,,,2023-11-09 14:44:26,2023-11-09 14:44:27,0.843s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/buzz/viewBuzz"")",Chrome 118.0.0.0,,,2023-11-09 14:44:27,2023-11-09 14:44:27,0.418s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/a_Buzz Newsfeed""), ""Buzz Newsfeed"")",Chrome 118.0.0.0,,,2023-11-09 14:44:27,2023-11-09 14:44:27,0.360s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-09 14:44:27,2023-11-09 14:44:28,0.261s,PASSED
,,,,,,,
Test Cases/OrangeHRM-Expand-MenuBar,Chrome 118.0.0.0,,,2023-11-09 14:44:28,2023-11-09 14:45:18,49.942s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Minimize-MenuBar""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-09 14:44:28,2023-11-09 14:44:58,29.844s,PASSED
"callTestCase(findTestCase(""OrangeHRM-Minimize-MenuBar""), [:], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-11-09 14:44:58,2023-11-09 14:45:17,18.955s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_oxd-icon-button""))",Chrome 118.0.0.0,,,2023-11-09 14:45:17,2023-11-09 14:45:17,0.334s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OrangeHRM/img""), 0)",Chrome 118.0.0.0,,,2023-11-09 14:45:17,2023-11-09 14:45:17,0.331s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-09 14:45:17,2023-11-09 14:45:18,0.343s,PASSED
,,,,,,,
